gene,Description
TMEM198B,transmembrane protein 198B (pseudogene)
LOC613206,uncharacterized LOC613206
SLC3A1,solute carrier family 3 member 1
ZNF777,zinc finger protein 777
MACROH2A1,macroH2A.1 histone
RPS10,ribosomal protein S10
CTTNBP2,cortactin binding protein 2
NUCB2,nucleobindin 2
LOC100287036,uncharacterized LOC100287036
FAM3D-AS1,FAM3D antisense RNA 1
LY6E-DT,LY6E divergent transcript
MRPL35,mitochondrial ribosomal protein L35
WNT9B,Wnt family member 9B
LOC644656,uncharacterized LOC644656
IGHV3-72,immunoglobulin heavy variable 3-72
PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta
RNR1,s-rRNA
KCNMA1,potassium calcium-activated channel subfamily M alpha 1
CLUH,clustered mitochondria homolog
DTL,denticleless E3 ubiquitin protein ligase homolog
MELTF-AS1,MELTF antisense RNA 1
C7orf31,chromosome 7 open reading frame 31
MIR4435-2HG,MIR4435-2 host gene
RPGRIP1L,RPGRIP1 like
IVD,isovaleryl-CoA dehydrogenase
LOC107986289,uncharacterized LOC107986289
C8orf82,chromosome 8 open reading frame 82
FMNL1-AS1,FMNL1 antisense RNA 1
DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
ZNF131,zinc finger protein 131
MTMR6,myotubularin related protein 6
SERF2-C15ORF63,SERF2-C15orf63 readthrough
LOC112268190,
HOXC8,homeobox C8
ZNF205,zinc finger protein 205
FAM162A,family with sequence similarity 162 member A
PTPN14,protein tyrosine phosphatase non-receptor type 14
LOC100132249,uncharacterized LOC100132249
MIR3934,microRNA 3934
LOC100130691,Putative uncharacterized protein FLJ44553
LPAR6,lysophosphatidic acid receptor 6
CHML,CHM like Rab escort protein
KCNA1,potassium voltage-gated channel subfamily A member 1
REREP3,arginine-glutamic acid dipeptide repeats pseudogene 3
MYOM1,myomesin 1
PJA2,praja ring finger ubiquitin ligase 2
ILF3-DT,ILF3 divergent transcript
LPIN2,lipin 2
LINC00869,long intergenic non-protein coding RNA 869
TFRC,transferrin receptor
SAMD13,sterile alpha motif domain containing 13
ASTN1,astrotactin 1
ETFRF1,electron transfer flavoprotein regulatory factor 1
GPR155,G protein-coupled receptor 155
ITPR1-DT,ITPR1 divergent transcript
CD53,CD53 molecule
IGHV3-63,immunoglobulin heavy variable 3-63 (pseudogene)
TEKT4,tektin 4
OTULIN,OTU deubiquitinase with linear linkage specificity
GLT8D2,glycosyltransferase 8 domain containing 2
FBXO34,F-box protein 34
NCAM1,neural cell adhesion molecule 1
DPRXP4,divergent-paired related homeobox pseudogene 4
LGALS7B,galectin 7B
NOP14-AS1,NOP14 antisense RNA 1
ALDH7A1,aldehyde dehydrogenase 7 family member A1
LINC01871,long intergenic non-protein coding RNA 1871
CIAO1,cytosolic iron-sulfur assembly component 1
APBA3,amyloid beta precursor protein binding family A member 3
LOC105374333,uncharacterized LOC105374333
STXBP3,syntaxin binding protein 3
PRORP,protein only RNase P catalytic subunit
HHIP-AS1,HHIP antisense RNA 1
COX16,cytochrome c oxidase assembly factor COX16
SAMD12,sterile alpha motif domain containing 12
AIFM2,apoptosis inducing factor mitochondria associated 2
CTBP1-AS,CTBP1 antisense RNA
C21orf62-AS1,C21orf62 antisense RNA 1
SCAT2,S-phase cancer associated transcript 2
PPIAL4F,peptidylprolyl isomerase A like 4F
TAF6,TATA-box binding protein associated factor 6
MIR1181,microRNA 1181
ELL2,elongation factor for RNA polymerase II 2
SNORA10,"small nucleolar RNA, H/ACA box 10"
AADAC,arylacetamide deacetylase
FCGR1BP,"Fc gamma receptor Ib, pseudogene"
TAGLN3,transgelin 3
RNA45SN5,"RNA, 45S pre-ribosomal N5"
RPL21P44,ribosomal protein L21 pseudogene 44
RB1CC1,RB1 inducible coiled-coil 1
DUOXA1,dual oxidase maturation factor 1
LOC107986675,uncharacterized LOC107986675
RNF122,ring finger protein 122
RARB,retinoic acid receptor beta
SLC23A1,solute carrier family 23 member 1
PUS10,pseudouridine synthase 10
FAM153CP,protein FAM153C
LOC101929479,golgin A2 pseudogene
INS-IGF2,INS-IGF2 readthrough
MIR21,microRNA 21
GFRA1,GDNF family receptor alpha 1
IL20RB-AS1,IL20RB antisense RNA 1
AQP7,aquaporin 7
SOWAHA,sosondowah ankyrin repeat domain family member A
GSAP,gamma-secretase activating protein
PDCD11,programmed cell death 11
SLC35F1,solute carrier family 35 member F1
RASSF3,Ras association domain family member 3
PICSAR,P38 inhibited cutaneous squamous cell carcinoma associated lincRNA
CTAGE15,CTAGE family member 15
SUGT1P4-STRA6LP,SUGT1P4-STRA6LP readthrough
HSPA4,heat shock protein family A (Hsp70) member 4
CHCT1,CHD1 helical C-terminal domain containing 1
CMTM1,CKLF like MARVEL transmembrane domain containing 1
CLUHP3,clustered mitochondria homolog pseudogene 3
FLCN,folliculin
KLHL35,kelch like family member 35
LINC00847,long intergenic non-protein coding RNA 847
LOC101928728,uncharacterized LOC101928728
ETV6,ETS variant transcription factor 6
LOC107984190,uncharacterized LOC107984190
TGOLN2,trans-golgi network protein 2
OVOS2,alpha-2-macroglobulin like 1 pseudogene
LOC105376749,uncharacterized LOC105376749
RPS6KB1,ribosomal protein S6 kinase B1
PRMT7,protein arginine methyltransferase 7
DUSP4,dual specificity phosphatase 4
KIAA1549L,KIAA1549 like
SDS,serine dehydratase
SPDYE15,speedy/RINGO cell cycle regulator family member E15
KTN1,kinectin 1
MORC3,MORC family CW-type zinc finger 3
OXCT2,3-oxoacid CoA-transferase 2
PPIP5K1P1-CATSPER2,PPIP5K1P1-CATSPER2 readthrough
HSPA8,heat shock protein family A (Hsp70) member 8
LRP4,LDL receptor related protein 4
MOCS3,molybdenum cofactor synthesis 3
HLF,"HLF transcription factor, PAR bZIP family member"
GUSBP4,GUSB pseudogene 4
NANP,N-acetylneuraminic acid phosphatase
INSYN2A,inhibitory synaptic factor 2A
LOC440300,chondroitin sulfate proteoglycan 4 pseudogene
NR4A1,nuclear receptor subfamily 4 group A member 1
HNRNPA1P10,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
ASB2,ankyrin repeat and SOCS box containing 2
DPYD,dihydropyrimidine dehydrogenase
ZNF623,zinc finger protein 623
RNF34,ring finger protein 34
CLNK,cytokine dependent hematopoietic cell linker
MAP1LC3C,microtubule associated protein 1 light chain 3 gamma
TAGAP,T cell activation RhoGTPase activating protein
VPS41,VPS41 subunit of HOPS complex
KLF10,KLF transcription factor 10
ZNF326,zinc finger protein 326
IPO9-AS1,IPO9 antisense RNA 1
HEATR3,HEAT repeat containing 3
PQBP1,polyglutamine binding protein 1
TNFRSF10C,TNF receptor superfamily member 10c
ODF3L1,outer dense fiber of sperm tails 3 like 1
RBM14,RNA binding motif protein 14
PRSS53,serine protease 53
ELP1,elongator acetyltransferase complex subunit 1
C8orf33,chromosome 8 open reading frame 33
LRRIQ1,leucine rich repeats and IQ motif containing 1
LOC112543491,linc-UFC1
MIR6511B1,microRNA 6511b-1
CFAP61-AS1,CFAP61 antisense RNA 1
LOC102723996,ICOS ligand
TFAM,"transcription factor A, mitochondrial"
DOCK2,dedicator of cytokinesis 2
CNTD1,cyclin N-terminal domain containing 1
MTHFR,methylenetetrahydrofolate reductase
DSCC1,DNA replication and sister chromatid cohesion 1
GAS5-AS1,GAS5 antisense RNA 1
ARHGAP12,Rho GTPase activating protein 12
CCDC188BP,"coiled-coil domain containing 188B, pseudogene"
LRRC24,leucine rich repeat containing 24
LOC105375078,
CCDC174,coiled-coil domain containing 174
NUDT4P2,nudix hydrolase 4 pseudogene 2
CYP2A13,cytochrome P450 family 2 subfamily A member 13
ST7-AS1,ST7 antisense RNA 1
RIMOC1,RAB7A interacting MON1-CCZ1 complex subunit 1
CELSR1,cadherin EGF LAG seven-pass G-type receptor 1
LOC107985306,uncharacterized LOC107985306
HSPA12A,heat shock protein family A (Hsp70) member 12A
POLR3A,RNA polymerase III subunit A
TMEM104,transmembrane protein 104
LOC105371064,uncharacterized LOC105371064
LOC105370041,uncharacterized LOC105370041
GUF1,GTP binding elongation factor GUF1
TDRD3,tudor domain containing 3
RNA5-8SN3,"RNA, 5.8S ribosomal N3"
BCR,BCR activator of RhoGEF and GTPase
LOC105371401,uncharacterized LOC105371401
TBL1X,transducin beta like 1 X-linked
COQ8B,coenzyme Q8B
ANAPC1,anaphase promoting complex subunit 1
VAC14-AS1,VAC14 antisense RNA 1
NTN1,netrin 1
TUFT1,tuftelin 1
LOC105369780,
TSPYL4,TSPY like 4
TRIM16L,tripartite motif containing 16 like
LOC105375669,uncharacterized LOC105375669
CLBA1,clathrin binding box of aftiphilin containing 1
HIBCH,3-hydroxyisobutyryl-CoA hydrolase
LOC101929240,U5 small nuclear ribonucleoprotein 200 kDa helicase-like
SUMO1,small ubiquitin like modifier 1
BMS1P4,BMS1 pseudogene 4
BBS7,Bardet-Biedl syndrome 7
HM13-AS1,HM13 antisense RNA 1
WDR76,WD repeat domain 76
LOC100128398,uncharacterized LOC100128398
LOC112268144,
APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein
ATAD2B,ATPase family AAA domain containing 2B
FAM76A,family with sequence similarity 76 member A
COX5B,cytochrome c oxidase subunit 5B
FOXO3,forkhead box O3
POU2AF3,POU class 2 homeobox associating factor 3
ZDBF2,zinc finger DBF-type containing 2
H2BC21,H2B clustered histone 21
CMC2,C-X9-C motif containing 2
LOC101928669,uncharacterized LOC101928669
PRKX,protein kinase cAMP-dependent X-linked catalytic subunit
PNPT1,polyribonucleotide nucleotidyltransferase 1
LMF1-AS1,LMF1 antisense RNA 1
PRMT6,protein arginine methyltransferase 6
OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"
MSANTD4,Myb/SANT DNA binding domain containing 4 with coiled-coils
IL18BP,interleukin 18 binding protein
INO80C,INO80 complex subunit C
MTRFR,mitochondrial translation release factor in rescue
LINC00574,long intergenic non-protein coding RNA 574
PTOV1,PTOV1 extended AT-hook containing adaptor protein
AQP10,aquaporin 10
COL1A2,collagen type I alpha 2 chain
PTEN,phosphatase and tensin homolog
EFEMP2,EGF containing fibulin extracellular matrix protein 2
CFAP119,cilia and flagella associated protein 119
LOC112267951,
SGSM3-AS1,SGSM3 antisense RNA 1
G6PD,glucose-6-phosphate dehydrogenase
CBX2,chromobox 2
C1orf167,chromosome 1 open reading frame 167
SNHG16,small nucleolar RNA host gene 16
ARSA,arylsulfatase A
CYP4B1,cytochrome P450 family 4 subfamily B member 1
LINC02175,long intergenic non-protein coding RNA 2175
PTCD1,pentatricopeptide repeat domain 1
LINC01535,long intergenic non-protein coding RNA 1535
EML2-AS1,EML2 antisense RNA 1
RND3,Rho family GTPase 3
ZNF487,zinc finger protein 487
SWAP70,switching B cell complex subunit SWAP70
SRP19,signal recognition particle 19
RDH10-AS1,RDH10 antisense RNA 1
SPAST,spastin
LOC105377873,uncharacterized LOC105377873
IQUB,IQ motif and ubiquitin domain containing
PXN,paxillin
STMN2,stathmin 2
CSF3,colony stimulating factor 3
RPL30,ribosomal protein L30
LOC105379499,uncharacterized LOC105379499
CAPN1-AS1,CAPN1 antisense RNA 1
LOC105371753,uncharacterized LOC105371753
ADAM22,ADAM metallopeptidase domain 22
FDX2,ferredoxin 2
AFAP1,actin filament associated protein 1
LOC105371818,uncharacterized LOC105371818
TMEM187,transmembrane protein 187
CDAN1,codanin 1
SHPK,sedoheptulokinase
KCNN2,potassium calcium-activated channel subfamily N member 2
LOC101928152,replaced by ID 101928173
LINC00662,long intergenic non-protein coding RNA 662
ALKBH6,alkB homolog 6
MIR7161,microRNA 7161
SEC14L4,SEC14 like lipid binding 4
CTNNA3,catenin alpha 3
MRPL52,mitochondrial ribosomal protein L52
ZSCAN5A-AS1,ZSCAN5A antisense RNA 1
SVIP,small VCP interacting protein
FGFR3,fibroblast growth factor receptor 3
C2-AS1,C2 antisense RNA 1
FBXO43,F-box protein 43
POLR3H,RNA polymerase III subunit H
MTMR7,myotubularin related protein 7
ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog
SLC39A3,solute carrier family 39 member 3
CSMD3,CUB and Sushi multiple domains 3
RHOXF1P1,Rhox homeobox family member 1 pseudogene 1
CARMIL1,capping protein regulator and myosin 1 linker 1
PCDHGB8P,"protocadherin gamma subfamily B, 8 pseudogene"
MIR7106,microRNA 7106
TJAP1,tight junction associated protein 1
PRRT4,proline rich transmembrane protein 4
RPGRIP1,RPGR interacting protein 1
BRICD5,BRICHOS domain containing 5
SETD1A,"SET domain containing 1A, histone lysine methyltransferase"
LOC107986630,
HDAC2,histone deacetylase 2
PIK3R4,phosphoinositide-3-kinase regulatory subunit 4
IL2RB,interleukin 2 receptor subunit beta
LINC01394,long intergenic non-protein coding RNA 1394
LINC02542,long intergenic non-protein coding RNA 2542
SPAG5-AS1,SPAG5 antisense RNA 1
CADPS2,calcium dependent secretion activator 2
ALCAM,activated leukocyte cell adhesion molecule
DMGDH,dimethylglycine dehydrogenase
RNASET2,ribonuclease T2
RARRES2,retinoic acid receptor responder 2
LOC102723406,uncharacterized LOC102723406
LOC105379325,uncharacterized LOC105379325
DCT,dopachrome tautomerase
TIGD6,tigger transposable element derived 6
SEPTIN7P11,septin 7 pseudogene 11
ZBTB42,zinc finger and BTB domain containing 42
LOC105375044,uncharacterized LOC105375044
LOC105373454,uncharacterized LOC105373454
SNORD89,"small nucleolar RNA, C/D box 89"
MREG,melanoregulin
RNU6-8,"RNA, U6 small nuclear 8"
TATDN3,TatD DNase domain containing 3
RAB9B,"RAB9B, member RAS oncogene family"
NMRK1,nicotinamide riboside kinase 1
DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
CDKN2AIPNL,CDKN2A interacting protein N-terminal like
TMEM64,transmembrane protein 64
RNASEH1-DT,RNASEH1 divergent transcript
PGAM1,phosphoglycerate mutase 1
OTUD4,OTU deubiquitinase 4
ARHGEF5,Rho guanine nucleotide exchange factor 5
PTGIS,prostaglandin I2 synthase
GUCA2A,guanylate cyclase activator 2A
LRIF1,ligand dependent nuclear receptor interacting factor 1
THAP4,THAP domain containing 4
LMBRD2,LMBR1 domain containing 2
SLC36A4,solute carrier family 36 member 4
SEMA3F,semaphorin 3F
COL4A5,collagen type IV alpha 5 chain
ATXN2,ataxin 2
CFAP100,cilia and flagella associated protein 100
ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
IL20RA,interleukin 20 receptor subunit alpha
EML4-AS1,EML4 antisense RNA 1
HTRA2,HtrA serine peptidase 2
NOL7,nucleolar protein 7
LOC105378526,
GPRIN3,GPRIN family member 3
COLEC11,collectin subfamily member 11
LINC02210,long intergenic non-protein coding RNA 2210
AKNA,AT-hook transcription factor
ZBED10P,"zinc finger BED-type containing 10, pseudogene"
MRPL51,mitochondrial ribosomal protein L51
SRSF2,serine and arginine rich splicing factor 2
FAM91A1,family with sequence similarity 91 member A1
LPCAT3,lysophosphatidylcholine acyltransferase 3
TIRAP,TIR domain containing adaptor protein
MIR762HG,MIR762 host gene
BOD1,biorientation of chromosomes in cell division 1
SAPCD1-AS1,SAPCD1 antisense RNA 1
RPS10-NUDT3,RPS10-NUDT3 readthrough
HCG27,HLA complex group 27
NAPG,NSF attachment protein gamma
EAF2,ELL associated factor 2
CLN6,CLN6 transmembrane ER protein
FANCL,FA complementation group L
CDC42BPA,CDC42 binding protein kinase alpha
RIBC1,RIB43A domain with coiled-coils 1
C9orf78,chromosome 9 open reading frame 78
CNTN2,contactin 2
LOC105372952,uncharacterized LOC105372952
ARMC10,armadillo repeat containing 10
GRWD1,glutamate rich WD repeat containing 1
FLJ42627,uncharacterized LOC645644
ITK,IL2 inducible T cell kinase
LOC102724528,uncharacterized LOC102724528
MORN3,MORN repeat containing 3
ZNF37A,zinc finger protein 37A
TBC1D3JP,"TBC1 domain family member 3J, pseudogene"
LOC374443,C-type lectin domain family 2 member D pseudogene
GUSBP16,GUSB pseudogene 16
GPSM2,G protein signaling modulator 2
CADM3-AS1,CADM3 antisense RNA 1
CEMIP2,cell migration inducing hyaluronidase 2
ABRACL,ABRA C-terminal like
PTK2,protein tyrosine kinase 2
ODAM,"odontogenic, ameloblast associated"
LINC02575,long intergenic non-protein coding RNA 2575
LOC107986495,
CFAP157,cilia and flagella associated protein 157
MYADM-AS1,MYADM antisense RNA 1
SHLD3,shieldin complex subunit 3
DPM3,"dolichyl-phosphate mannosyltransferase subunit 3, regulatory"
LINC02009,long intergenic non-protein coding RNA 2009
FASTKD2,FAST kinase domains 2
IGKV2-26,immunoglobulin kappa variable 2-26 (pseudogene)
TMPRSS2,transmembrane serine protease 2
KLHL29,kelch like family member 29
ACVR1C,activin A receptor type 1C
DYNLT4,dynein light chain Tctex-type 4
MIR29B2CHG,MIR29B2 and MIR29C host gene
MEI1,meiotic double-stranded break formation protein 1
PYROXD2,pyridine nucleotide-disulphide oxidoreductase domain 2
ZNF826P,"zinc finger protein 826, pseudogene"
DPP8,dipeptidyl peptidase 8
FBXO17,F-box protein 17
DDX39B,DExD-box helicase 39B
MAFTRR,MAF transcriptional regulator RNA
STK3,serine/threonine kinase 3
TST,thiosulfate sulfurtransferase
PGAM1P5,phosphoglycerate mutase 1 pseudogene 5
FNTB,"farnesyltransferase, CAAX box, beta"
PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B
THBS3-AS1,THBS3 antisense RNA 1
SPSB2,splA/ryanodine receptor domain and SOCS box containing 2
HSPB11,heat shock protein family B (small) member 11
LOC105376483,uncharacterized LOC105376483
MIF4GD-DT,MIF4GD divergent transcript
RHBDF2,rhomboid 5 homolog 2
LRRC37A3,leucine rich repeat containing 37 member A3
GOLGA8Q,golgin A8 family member Q
ESYT3,extended synaptotagmin 3
CTAGE1,cutaneous T cell lymphoma-associated antigen 1
MICAL1,"microtubule associated monooxygenase, calponin and LIM domain containing 1"
ALKBH1,"alkB homolog 1, histone H2A dioxygenase"
HSP90AB4P,"heat shock protein 90 alpha family class B member 4, pseudogene"
CFAP70,cilia and flagella associated protein 70
CEP350,centrosomal protein 350
LOC107986035,
LOC105378980,uncharacterized LOC105378980
LOC105377896,uncharacterized LOC105377896
TMED1,transmembrane p24 trafficking protein 1
LINC01645,long intergenic non-protein coding RNA 1645
LOC105370707,
DYNLT1,dynein light chain Tctex-type 1
LDLR-AS1,LDLR antisense RNA 1
MROH2B,maestro heat like repeat family member 2B
CEP85L,centrosomal protein 85 like
LINC00562,long intergenic non-protein coding RNA 562
LOC105375183,uncharacterized LOC105375183
PCDHA7,protocadherin alpha 7
JRKL,JRK like
ATP6V1G2-DDX39B,ATP6V1G2-DDX39B readthrough (NMD candidate)
RGS7BP,regulator of G protein signaling 7 binding protein
TAF8,TATA-box binding protein associated factor 8
LINC02688,long intergenic non-protein coding RNA 2688
MTHFSD,methenyltetrahydrofolate synthetase domain containing
LOC440570,uncharacterized LOC440570
SLK,STE20 like kinase
MCAT,malonyl-CoA-acyl carrier protein transacylase
RGS2,regulator of G protein signaling 2
TMED10P1,transmembrane p24 trafficking protein 10 pseudogene 1
HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
EDRF1,erythroid differentiation regulatory factor 1
NUDC,"nuclear distribution C, dynein complex regulator"
SLC66A2,solute carrier family 66 member 2
MED4-AS1,MED4 antisense RNA 1
SNORD12B,"small nucleolar RNA, C/D box 12B"
RPL13P5,ribosomal protein L13 pseudogene 5
MAPK1,mitogen-activated protein kinase 1
LOC100506639,uncharacterized LOC100506639
LOC646903,uncharacterized LOC646903
WTIP,WT1 interacting protein
TRIM66,tripartite motif containing 66
LRGUK,leucine rich repeats and guanylate kinase domain containing
ADCK2,aarF domain containing kinase 2
SRI,sorcin
MRPL21,mitochondrial ribosomal protein L21
SPDYE3,speedy/RINGO cell cycle regulator family member E3
SNORA59A,"small nucleolar RNA, H/ACA box 59A"
LOC107986632,uncharacterized LOC107986632
LOC105371894,uncharacterized LOC105371894
OR1J2,olfactory receptor family 1 subfamily J member 2
DMRTC1,DMRT like family C1
DDAH2,dimethylarginine dimethylaminohydrolase 2
BRCA2,BRCA2 DNA repair associated
CCDC187,coiled-coil domain containing 187
FMNL1,formin like 1
LOC283038,uncharacterized LOC283038
MLF2,myeloid leukemia factor 2
ZAP70,zeta chain of T cell receptor associated protein kinase 70
KARS1,lysyl-tRNA synthetase 1
RNF207-AS1,RNF207 antisense RNA 1
LOC107986304,
DPF1,double PHD fingers 1
SRGAP1,SLIT-ROBO Rho GTPase activating protein 1
SGO2,shugoshin 2
TIGD7,tigger transposable element derived 7
LOC105372310,uncharacterized LOC105372310
LOC105379280,uncharacterized LOC105379280
TVP23C-CDRT4,TVP23C-CDRT4 readthrough
CCDC163,CCDC163 homolog
SPATS2L,spermatogenesis associated serine rich 2 like
ATL1,atlastin GTPase 1
TRAPPC8,trafficking protein particle complex subunit 8
GBP2,guanylate binding protein 2
TCP11L1,t-complex 11 like 1
EPM2A-DT,EPM2A divergent transcript
RPLP0P2,ribosomal protein lateral stalk subunit P0 pseudogene 2
CNOT4,CCR4-NOT transcription complex subunit 4
DNAAF3,dynein axonemal assembly factor 3
MRPS15,mitochondrial ribosomal protein S15
USPL1,ubiquitin specific peptidase like 1
MIR3940,microRNA 3940
LOC103171574,uncharacterized LOC103171574
DMRTC1B,DMRT like family C1B
CDC7,cell division cycle 7
DNAH8,dynein axonemal heavy chain 8
LINC02803,long intergenic non-protein coding RNA 2803
ANKZF1,ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1
CRADD,CASP2 and RIPK1 domain containing adaptor with death domain
C1orf174,chromosome 1 open reading frame 174
KLHL23,kelch like family member 23
LOC284191,uncharacterized LOC284191
LAMB4,laminin subunit beta 4
ICOSLG,inducible T cell costimulator ligand
SPOP,speckle type BTB/POZ protein
SOBP,sine oculis binding protein homolog
IL32,interleukin 32
NPR2,natriuretic peptide receptor 2
SEMA4G,semaphorin 4G
TAFA2,TAFA chemokine like family member 2
B4GALT1,"beta-1,4-galactosyltransferase 1"
TTC8,tetratricopeptide repeat domain 8
CNPY2-AS1,CNPY2 antisense RNA 1
LOC101928474,uncharacterized LOC101928474
LOC107985946,uncharacterized LOC107985946
TNFRSF25,TNF receptor superfamily member 25
GPR135,G protein-coupled receptor 135
LARP1,"La ribonucleoprotein 1, translational regulator"
LOC101927604,uncharacterized LOC101927604
CRB3,crumbs cell polarity complex component 3
ALOX12-AS1,ALOX12 antisense RNA 1
UTP11,UTP11 small subunit processome component
LINC00189,long intergenic non-protein coding RNA 189
MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"
PKN3,protein kinase N3
RETN,resistin
RBMX,RNA binding motif protein X-linked
MAN1A1,mannosidase alpha class 1A member 1
FAM226B,family with sequence similarity 226 member B
ZNF696,zinc finger protein 696
MYOM3,myomesin 3
SPICE1,spindle and centriole associated protein 1
CD164,CD164 molecule
LETM1,leucine zipper and EF-hand containing transmembrane protein 1
COX8A,cytochrome c oxidase subunit 8A
LOC105370275,uncharacterized LOC105370275
MRPS21,mitochondrial ribosomal protein S21
LINC02985,long intergenic non-protein coding RNA 2985
CDC123,cell division cycle 123
GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B
DNAAF3-AS1,DNAAF3 antisense RNA 1
POLR1F,RNA polymerase I subunit F
LOC107984328,uncharacterized LOC107984328
NUP214,nucleoporin 214
FRA10AC1,FRA10A associated CGG repeat 1
GOLGA8N,golgin A8 family member N
ARL4C,ADP ribosylation factor like GTPase 4C
LOC105377622,uncharacterized LOC105377622
OGFOD2,2-oxoglutarate and iron dependent oxygenase domain containing 2
GKAP1,G kinase anchoring protein 1
LOC105375921,uncharacterized LOC105375921
LINC00649,long intergenic non-protein coding RNA 649
TMEM218,transmembrane protein 218
LOC107985057,uncharacterized LOC107985057
LOC102724220,uncharacterized LOC102724220
ZNF667-AS1,ZNF667 antisense RNA 1 (head to head)
POM121L15P,"POM121 transmembrane nucleoporin like 15, pseudogene"
TTC27,tetratricopeptide repeat domain 27
ZC3HAV1L,"zinc finger CCCH-type containing, antiviral 1 like"
DUSP26,dual specificity phosphatase 26
PHPT1,phosphohistidine phosphatase 1
LOC107985088,uncharacterized LOC107985088
ZC3H12D,zinc finger CCCH-type containing 12D
NUP107,nucleoporin 107
RNF44,ring finger protein 44
APBA2,amyloid beta precursor protein binding family A member 2
MKNK2,MAPK interacting serine/threonine kinase 2
LOC107987138,uncharacterized LOC107987138
GLIPR1,GLI pathogenesis related 1
GNRHR,gonadotropin releasing hormone receptor
LOC105373992,uncharacterized LOC105373992
LOC107985120,
AFF2,ALF transcription elongation factor 2
NAA60,"N-alpha-acetyltransferase 60, NatF catalytic subunit"
DAZAP2,DAZ associated protein 2
PNISR-AS1,PNISR antisense RNA 1
GSTO2,glutathione S-transferase omega 2
HPGDS,hematopoietic prostaglandin D synthase
PSMA6,proteasome 20S subunit alpha 6
CAPS,calcyphosine
CUL9,cullin 9
FCGR2A,Fc gamma receptor IIa
ANXA9,annexin A9
EFCAB5,EF-hand calcium binding domain 5
NPRL2,"NPR2 like, GATOR1 complex subunit"
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1
NLGN4X,neuroligin 4 X-linked
PLCG1,phospholipase C gamma 1
SAT2,spermidine/spermine N1-acetyltransferase family member 2
MAEA,"macrophage erythroblast attacher, E3 ubiquitin ligase"
PYHIN1,pyrin and HIN domain family member 1
MAP3K21,mitogen-activated protein kinase kinase kinase 21
CREB5,cAMP responsive element binding protein 5
LINC02918,long intergenic non-protein coding RNA 2918
ZSCAN18,zinc finger and SCAN domain containing 18
DSN1,DSN1 component of MIS12 kinetochore complex
LOC105372059,uncharacterized LOC105372059
MTBP,MDM2 binding protein
BNIP3,BCL2 interacting protein 3
MRPS9-AS1,MRPS9 antisense RNA 1
PIGV,phosphatidylinositol glycan anchor biosynthesis class V
NINJ1,ninjurin 1
CINP,cyclin dependent kinase 2 interacting protein
ANKRD6,ankyrin repeat domain 6
LRRC4C,leucine rich repeat containing 4C
POU3F1,POU class 3 homeobox 1
BTD,biotinidase
SCARNA7,small Cajal body-specific RNA 7
THNSL2,threonine synthase like 2
ZC3H14,zinc finger CCCH-type containing 14
COX7A2,cytochrome c oxidase subunit 7A2
UTP14C,UTP14C small subunit processome component
LOC101929204,uncharacterized LOC101929204
SLC25A15,solute carrier family 25 member 15
PORCN,porcupine O-acyltransferase
KCNK13,potassium two pore domain channel subfamily K member 13
PPP1R11,protein phosphatase 1 regulatory inhibitor subunit 11
MAS1L,"MAS1 proto-oncogene like, G protein-coupled receptor"
PRR5,proline rich 5
GMFB,glia maturation factor beta
LOC105375060,replaced by ID 105375059
GINS3,GINS complex subunit 3
MVP,major vault protein
CD99P1,CD99 molecule pseudogene 1
USP30,ubiquitin specific peptidase 30
DCLRE1B,DNA cross-link repair 1B
PSENEN,"presenilin enhancer, gamma-secretase subunit"
MYBPC2,myosin binding protein C2
LINC02728,long intergenic non-protein coding RNA 2728
MIR4700,microRNA 4700
IL6R-AS1,IL6R antisense RNA 1
PHOSPHO2-KLHL23,PHOSPHO2-KLHL23 readthrough
NDE1,nudE neurodevelopment protein 1
PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K"
CPQ,carboxypeptidase Q
KCNJ5,potassium inwardly rectifying channel subfamily J member 5
PPIAL4D,peptidylprolyl isomerase A like 4D
LTB4R,leukotriene B4 receptor
SPDYE2,speedy/RINGO cell cycle regulator family member E2
XRCC3,X-ray repair cross complementing 3
ELP2,elongator acetyltransferase complex subunit 2
ATXN7,ataxin 7
LOC105373730,
PRPF39,pre-mRNA processing factor 39
ISG15,ISG15 ubiquitin like modifier
BMS1P4-AGAP5,BMS1P4-AGAP5 readthrough
VENTX,VENT homeobox
SAV1,salvador family WW domain containing protein 1
